Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Via Login,Chrome 123.0.0.0,,,03-04-2024 09:58:28,03-04-2024 09:59:03,34.964s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,03-04-2024 09:58:29,03-04-2024 09:58:34,5.609s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:58:29,03-04-2024 09:58:31,2.025s,PASSED
"navigateToUrl(""https://thinking-tester-contact-list.herokuapp.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:58:31,03-04-2024 09:58:33,1.521s,PASSED
"setText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_email""), Email)",Chrome 123.0.0.0,,,03-04-2024 09:58:33,03-04-2024 09:58:34,0.923s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_password""), Password)",Chrome 123.0.0.0,,,03-04-2024 09:58:34,03-04-2024 09:58:34,0.433s,PASSED
"click(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/button_Submit""))",Chrome 123.0.0.0,,,03-04-2024 09:58:34,03-04-2024 09:58:34,0.370s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,03-04-2024 09:58:34,03-04-2024 09:58:39,4.197s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:58:34,03-04-2024 09:58:35,1.003s,PASSED
"navigateToUrl(""https://thinking-tester-contact-list.herokuapp.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:58:35,03-04-2024 09:58:37,1.611s,PASSED
"setText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_email""), Email)",Chrome 123.0.0.0,,,03-04-2024 09:58:37,03-04-2024 09:58:38,0.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_password""), Password)",Chrome 123.0.0.0,,,03-04-2024 09:58:38,03-04-2024 09:58:38,0.405s,PASSED
"click(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/button_Submit""))",Chrome 123.0.0.0,,,03-04-2024 09:58:38,03-04-2024 09:58:39,0.332s,PASSED
,,,,,,,
Test Cases/Add New Contact List,Chrome 123.0.0.0,,,03-04-2024 09:58:39,03-04-2024 09:58:50,11.258s,PASSED
