Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Via Login,Chrome 123.0.0.0,,,03-04-2024 09:54:29,03-04-2024 09:54:59,29.844s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,03-04-2024 09:54:29,03-04-2024 09:54:35,5.963s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,03-04-2024 09:54:30,03-04-2024 09:54:32,2.175s,PASSED
"navigateToUrl(""https://thinking-tester-contact-list.herokuapp.com/"")",Chrome 123.0.0.0,,,03-04-2024 09:54:32,03-04-2024 09:54:33,1.507s,PASSED
"setText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_email""), Email)",Chrome 123.0.0.0,,,03-04-2024 09:54:33,03-04-2024 09:54:34,0.980s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/input_here_password""), Password)",Chrome 123.0.0.0,,,03-04-2024 09:54:34,03-04-2024 09:54:35,0.469s,PASSED
"click(findTestObject(""Object Repository/Contact List App - Login/Page_Contact List App/button_Submit""))",Chrome 123.0.0.0,,,03-04-2024 09:54:35,03-04-2024 09:54:35,0.391s,PASSED
,,,,,,,
Test Cases/Add New Contact List,Chrome 123.0.0.0,,,03-04-2024 09:54:35,03-04-2024 09:54:45,9.766s,PASSED
"click(findTestObject(""Object Repository/Contact List App/Page_My Contacts/button_Add a New Contact""))",Chrome 123.0.0.0,,,03-04-2024 09:54:36,03-04-2024 09:54:38,2.178s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add Contact/input_First Name_firstName""), FirstName)",Chrome 123.0.0.0,,,03-04-2024 09:54:38,03-04-2024 09:54:39,0.684s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add Contact/input_Last Name_lastName""), LastName)",Chrome 123.0.0.0,,,03-04-2024 09:54:39,03-04-2024 09:54:39,0.678s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add Contact/input_Date of Birth_birthdate""), DateofBirth)",Chrome 123.0.0.0,,,03-04-2024 09:54:39,03-04-2024 09:54:40,0.673s,PASSED
"setText(findTestObject(""Object Repository/Contact List App/Page_Add Contact/input_Email_email""), Email)",Chrome 123.0.0.0,,,03-04-2024 09:54:40,03-04-2024 09:54:41,0.723s,PASSED
"setText(findTestObject(""Contact List App/Page_Add Contact/input_Phone_phone""), Phone)",Chrome 123.0.0.0,,,03-04-2024 09:54:41,03-04-2024 09:54:41,0.685s,PASSED
